SiempreCoopera,SiempreTraiciona,Anonymous,Davis,Downing,Feld,Graaskamp,Grofman,Grudger,Joss,Nydegger,Random,Shubik,SteinRapoport,TidemanChieruzzi,TitForTat,Tullock,A2C_LSTM
3,148,199,294,285,165,247,288,116,116,288,142,160,355,294,199,93,473
294,104,201,315,143,316,187,297,297,202,261,408,315,201,99,110,324,115
288,94,175,330,264,151,293,328,151,294,330,215,89,87,211,288,196,112
306,487,202,312,276,229,184,276,312,212,2,46,154,133,306,128,159,286
261,113,256,317,246,291,182,211,108,113,297,217,282,321,282,212,332,118
327,284,211,273,273,251,59,42,143,119,321,184,327,204,321,114,128,362
105,98,88,288,88,92,197,312,330,127,273,385,273,127,330,312,207,97
312,264,59,93,279,185,269,234,321,261,312,226,321,294,309,180,344,143
279,109,179,300,306,132,293,224,309,329,309,299,293,137,306,300,229,109
303,95,72,128,315,227,299,229,303,264,279,177,315,133,312,90,87,142
294,129,223,297,312,142,178,294,313,147,312,82,218,104,90,220,225,95
303,314,424,129,294,280,333,220,294,134,189,59,100,215,318,318,185,105
282,106,52,330,306,347,331,330,277,101,5,213,315,122,117,315,223,440
270,333,151,200,270,200,286,48,100,157,282,71,117,122,286,282,152,105
303,101,431,303,156,96,63,221,273,137,261,209,209,321,137,273,246,288
129,149,399,99,107,206,286,312,123,140,176,391,135,128,312,286,211,112
0,475,54,155,300,192,158,294,304,307,252,59,294,198,187,300,135,269
0,153,220,318,288,158,226,306,108,108,306,141,153,358,318,215,98,470
