SiempreCoopera,SiempreTraiciona,Anonymous,Davis,Downing,Feld,Graaskamp,Grofman,Grudger,Joss,Nydegger,Random,Shubik,SteinRapoport,TidemanChieruzzi,TitForTat,Tullock,DuelingDQN
3,148,199,294,285,165,247,288,116,116,288,142,160,355,294,199,93,473
294,104,201,315,143,316,187,297,297,202,261,408,315,201,99,308,324,308
288,94,175,330,264,151,293,328,151,294,330,215,89,253,211,288,196,213
306,487,202,312,276,229,184,276,312,212,2,208,154,133,306,128,159,213
261,113,256,317,246,291,182,211,108,330,294,205,282,321,282,200,334,290
270,243,172,318,318,207,58,45,171,134,282,189,270,214,282,129,151,345
141,118,73,343,108,277,164,321,300,131,273,386,273,131,300,321,204,252
291,260,50,251,306,181,286,260,297,208,291,178,297,320,336,176,341,101
276,287,192,297,303,134,290,193,324,351,324,248,290,139,303,297,242,62
297,98,96,129,276,258,339,277,297,302,309,193,276,134,271,93,211,186
330,122,257,251,306,172,182,330,317,172,306,76,257,97,281,276,276,281
297,310,446,125,279,245,327,220,279,125,156,50,314,177,309,309,162,314
270,99,59,327,282,360,302,327,299,94,23,184,324,124,119,324,194,458
297,343,151,154,297,154,286,38,260,143,300,109,117,122,319,300,143,55
294,96,63,294,308,91,309,211,312,104,282,228,223,352,104,312,261,284
171,145,436,95,245,164,311,312,127,198,148,348,193,132,312,311,164,80
0,535,225,146,315,128,179,312,286,266,236,71,312,214,128,315,126,225
3,146,208,270,243,195,256,282,124,124,282,161,190,303,270,203,91,483
