SiempreCoopera,SiempreTraiciona,Anonymous,Davis,Downing,Feld,Graaskamp,Grofman,Grudger,Joss,Nydegger,Random,Shubik,SteinRapoport,TidemanChieruzzi,TitForTat,Tullock,QLearning
141,148,199,294,285,165,247,288,116,116,288,142,160,355,294,199,93,381
255,109,218,312,303,324,188,285,285,193,264,58,312,243,104,190,330,195
321,111,232,279,267,212,277,307,212,317,279,237,106,104,162,321,157,119
291,512,197,309,282,198,193,282,309,217,2,191,185,127,291,122,190,221
288,98,296,322,276,351,187,226,93,104,297,220,282,358,282,220,352,99
330,281,216,312,312,231,61,206,153,123,318,182,330,207,318,118,133,251
144,102,94,289,92,199,195,300,318,131,297,374,297,131,318,300,220,199
306,342,47,373,264,165,287,217,294,252,306,247,294,277,307,160,324,53
258,236,175,270,330,130,265,233,321,308,321,298,265,135,330,270,215,56
276,97,94,119,288,229,337,187,276,237,312,209,288,124,319,92,112,147
330,119,197,282,315,146,188,330,323,151,315,77,197,94,105,192,197,105
312,308,355,116,306,263,332,218,306,116,150,58,184,138,291,291,133,189
237,99,61,282,306,317,346,282,301,94,67,209,327,128,123,327,214,462
306,337,154,160,306,160,249,42,271,188,276,74,117,122,239,276,168,66
327,99,64,327,294,94,154,251,300,191,273,235,235,343,186,300,281,269
162,149,407,99,152,138,267,324,117,98,150,420,93,122,324,267,138,412
0,450,242,199,309,146,160,306,282,352,297,52,306,190,146,309,184,237
150,138,243,330,237,139,283,300,113,113,300,148,134,297,330,238,83,410
