SiempreCoopera,SiempreTraiciona,Anonymous,Davis,Downing,Feld,Graaskamp,Grofman,Grudger,Joss,Nydegger,Random,Shubik,SteinRapoport,TidemanChieruzzi,TitForTat,Tullock,A2C
285,148,199,294,285,165,247,288,116,116,288,142,160,355,294,199,93,285
294,104,201,315,143,316,187,297,297,202,261,408,315,201,99,309,324,309
288,94,175,330,264,151,293,328,151,294,330,215,89,300,211,288,196,240
306,487,202,312,276,229,184,276,312,212,2,374,154,133,306,128,159,144
261,113,256,317,246,291,182,211,108,331,294,204,282,321,282,204,334,291
306,310,201,285,285,236,60,288,147,112,270,207,306,222,270,107,137,288
138,111,78,268,101,327,189,306,294,119,276,403,276,119,294,306,219,267
273,271,46,273,279,189,264,239,294,211,273,181,294,284,289,184,319,273
297,470,253,303,312,133,276,217,303,327,303,282,276,138,312,303,238,0
321,104,90,130,318,258,334,288,321,303,309,213,318,135,295,99,297,267
282,120,244,297,312,106,176,282,311,106,312,97,239,95,318,166,171,318
291,326,350,108,306,250,316,220,306,113,150,56,270,139,270,270,134,270
264,101,60,273,255,324,280,273,285,96,285,199,294,130,125,294,204,285
330,339,151,189,330,189,286,49,300,137,306,100,123,128,280,306,132,300
312,107,419,312,159,102,302,248,312,109,264,218,213,324,109,312,293,282
141,148,421,98,330,201,326,294,123,112,151,361,107,128,294,321,191,330
0,475,391,142,300,172,182,279,289,304,249,54,279,207,172,300,122,141
276,146,220,294,285,209,250,303,115,115,303,145,204,355,294,215,91,276
