estrategia,n_torneo,perdida,exploracion,puntaje_torneo,puntaje_acumulado,seed
A2C,1,-1.0842569508895394e-06,,0,[6901],3
A2C,2,16.06950569152832,,0,[6920],3
A2C,3,-2.741296256658643e-08,,0,[7395],3
A2C,4,145.95030212402344,,0,[8255],3
A2C,5,-6.261747231839365e-10,,0,[7354],3
A2C,6,-6.55097665003268e-08,,0,[6946],3
A2C,7,0.09538967162370682,,0,[6917],3
A2C,8,-4.124314364162274e-05,,0,[6888],3
A2C,9,141.6913604736328,,0,[6855],3
A2C,10,0.827500581741333,,0,[6986],3
A2C,11,2.9103830456733704e-11,,0,[6829],3
A2C,12,-1.3899693895869092e-10,,0,[6812],3
A2C,13,4.656612873077393e-10,,0,[6919],3
A2C,14,1.2145903172111616e-09,,0,[6969],3
A2C,15,0.00011664826888591051,,0,[6926],3
A2C,16,1.862645149230957e-09,,0,[6947],3
A2C,17,-7.186115544755012e-05,,0,[6852],3
A2C,18,1.5674840211868286,,0,[6956],3
A2C,19,1.7179919986620718e-10,,0,[6898],3
A2C,20,-3.898249758549355e-07,,0,[6939],3
A2C,21,-1.4969070889492286e-06,,0,[6911],3
A2C,22,-1.6773776378292693e-12,,0,[6955],3
A2C,23,3.5461422687177446e-10,,0,[6830],3
A2C,24,-1.599171264388133e-05,,0,[6885],3
A2C,25,15.998549461364746,,0,[6887],3
A2C,26,0.013170766644179821,,0,[6899],3
A2C,27,-3.2964062590679077e-09,,0,[6936],3
A2C,28,-9.543374471832067e-05,,0,[6990],3
A2C,29,221.74343872070312,,0,[6937],3
A2C,30,-4.095990657759785e-09,,0,[6587],3
A2C,31,5.253010804118219e-10,,0,[6609],3
A2C,32,-6.455372414393423e-08,,0,[6838],3
A2C,33,91.57456970214844,,0,[6375],3
A2C,34,0.051285386085510254,,0,[6565],3
A2C,35,-3.497303779909089e-09,,0,[6936],3
A2C,36,12.577826499938965,,0,[6920],3
A2C,37,-3.3284835815429688,,0,[7104],3
A2C,38,-8.987015576167323e-07,,0,[6898],3
A2C,39,4.656612873077393e-10,,0,[6934],3
A2C,40,1.862645149230957e-09,,0,[6957],3
A2C,41,-1.6459761553733188e-08,,0,[6881],3
A2C,42,-7.857853051973507e-05,,0,[6898],3
A2C,43,2.9103830456733704e-11,,0,[6923],3
A2C,44,0.5698322057723999,,0,[7122],3
A2C,45,1.6370904631912708e-11,,0,[6995],3
A2C,46,1.6286550760269165,,0,[6853],3
A2C,47,2.5740010738372803,,0,[6933],3
A2C,48,-6.153057498905275e-16,,0,[6965],3
A2C,49,-6.297303824231992e-12,,0,[6868],3
A2C,50,260.25006103515625,,0,[6642],3
A2C,51,0.1237633004784584,,0,[7413],3
A2C,52,7.275957614183426e-12,,0,[6908],3
A2C,53,0.9418433308601379,,0,[6891],3
A2C,54,3.9755752086639404,,0,[6864],3
A2C,55,1.818987451981946e-12,,0,[6777],3
A2C,56,0.00046752579510211945,,0,[6704],3
A2C,57,1.0312408704749032e-09,,0,[6883],3
A2C,58,-7.79811548667908e-10,,0,[6875],3
A2C,59,1.0442253615614017e-12,,0,[7076],3
A2C,60,2.6193447411060333e-10,,0,[6981],3
A2C,1,1.260265588760376,,0,[8528],2
A2C,2,-7.056526555970777e-06,,0,[7741],2
A2C,3,2.0871567726135254,,0,[7077],2
A2C,4,1.1641527741801383e-08,,0,[8030],2
A2C,5,0.0531219057738781,,0,[7712],2
A2C,6,7.191719008509123e-12,,0,[6916],2
A2C,7,355.07061767578125,,0,[6983],2
A2C,8,-7.079201523488114e-15,,0,[6892],2
A2C,9,-1.1025806656572712e-10,,0,[6888],2
A2C,10,-1.3425528050392543e-11,,0,[6866],2
A2C,11,-6.78662104292016e-09,,0,[7024],2
