,estrategia,n_torneo,perdida,exploracion,puntaje_torneo,puntaje_acumulado,seed
0,A2C,1,2.5732741355896,,0,[6691],2
1,A2C,2,67.58982849121094,,0,[6953],2
2,A2C,3,-6.464576927101007e-07,,0,[6941],2
3,A2C,4,45.30768585205078,,0,[6953],2
4,A2C,5,-8.189750951714814e-05,,0,[6857],2
5,A2C,6,-1.9365685943739666e-07,,0,[6889],2
6,A2C,7,0.0132955498993396,,0,[6841],2
7,A2C,8,-1.0504354577278718e-05,,0,[6898],2
8,A2C,9,-2.853935484381509e-06,,0,[6903],2
9,A2C,10,0.9841421246528624,,0,[6884],2
10,A2C,11,-5.9552803577389575e-08,,0,[6800],2
11,A2C,12,14.292492866516112,,0,[7009],2
12,A2C,13,0.4067990779876709,,0,[7111],2
13,A2C,14,0.0047224746085703,,0,[6704],2
14,A2C,15,49.72153472900391,,0,[6972],2
15,A2C,16,-2.162550600814939e-07,,0,[6914],2
16,A2C,17,-6.214218473132861e-09,,0,[6802],2
17,A2C,18,-0.0002396545605733,,0,[6526],2
18,A2C,19,0.0685521513223648,,0,[7415],2
19,A2C,20,0.3480082154273987,,0,[8739],2
20,A2C,21,0.8456668257713318,,0,[8521],2
21,A2C,22,-2.0026477898227318e-07,,0,[6872],2
22,A2C,23,-3.5091179029222985e-07,,0,[6857],2
23,A2C,24,-6.481722039097804e-07,,0,[6860],2
24,A2C,25,0.0008912661578506,,0,[6610],2
25,A2C,26,-2.1585290596704e-05,,0,[7057],2
26,A2C,27,-2.718348639518809e-07,,0,[7067],2
27,A2C,28,-2.2471397187473485e-06,,0,[7206],2
28,A2C,29,134.93185424804688,,0,[6797],2
29,A2C,30,15.422213554382324,,0,[6967],2
30,A2C,31,-1.552984213049058e-05,,0,[6817],2
31,A2C,32,20.05947494506836,,0,[7040],2
32,A2C,33,-2.050878009640656e-07,,0,[5553],2
33,A2C,34,1.1641532182693479e-10,,0,[6932],2
34,A2C,35,-3.708687290782109e-05,,0,[6975],2
35,A2C,36,-3.673359287859057e-06,,0,[6967],2
36,A2C,37,-5.858783879375551e-06,,0,[6869],2
37,A2C,38,-1.791807733297901e-07,,0,[6940],2
38,A2C,39,-4.825014002562966e-06,,0,[6888],2
39,A2C,40,1.1193826421340701e-10,,0,[6876],2
40,A2C,1,-1.0187336556555238e-06,,0,[6989],1
41,A2C,2,8.664013950721028e-11,,0,[6901],1
42,A2C,3,-2.039230118100477e-09,,0,[6868],1
43,A2C,4,-2.2551630252110047e-07,,0,[6930],1
44,A2C,5,-1.5265425190591486e-06,,0,[6966],1
45,A2C,6,-2.351787431464913e-09,,0,[6868],1
46,A2C,7,-7.702494642103375e-09,,0,[6945],1
47,A2C,8,57.03002166748047,,0,[6797],1
48,A2C,9,-1.0855708154622334e-07,,0,[7015],1
49,A2C,10,-4.967315589965438e-07,,0,[6922],1
50,A2C,11,-2.150890026086927e-07,,0,[6950],1
51,A2C,12,1.6567002603551373e-05,,0,[7020],1
52,A2C,13,6.152026653289795,,0,[6775],1
53,A2C,14,-2.132287058032034e-08,,0,[6666],1
54,A2C,15,-1.7756637826771282e-10,,0,[6943],1
55,A2C,16,1.7231447380083862e-09,,0,[6959],1
56,A2C,17,-9.711402793044501e-10,,0,[6891],1
57,A2C,18,0.3544587194919586,,0,[7016],1
