estrategia,n_torneo,perdida,exploracion,puntaje_torneo,puntaje_acumulado,seed
A2C_LSTM,1,-1.8241202269564383e-05,,0,[35563],2
A2C_LSTM,2,4.390158210298978e-06,,0,[35011],2
A2C_LSTM,3,-2.4290353394462727e-05,,0,[36100],2
A2C_LSTM,4,-1.9863648503815057e-09,,0,[35053],2
A2C_LSTM,5,0.19076168537139893,,0,[35028],2
A2C_LSTM,6,-2.747676717262948e-06,,0,[34863],2
A2C_LSTM,7,-4.529465968516888e-06,,0,[35254],2
A2C_LSTM,8,-0.005540213547646999,,0,[33333],2
A2C_LSTM,9,-6.267298680029398e-09,,0,[43283],2
A2C_LSTM,10,-3.244413449010608e-08,,0,[34544],2
A2C_LSTM,11,8.480850219726562,,0,[34923],2
A2C_LSTM,12,-9.309634151577484e-06,,0,[35178],2
A2C_LSTM,13,-2.2881460608914495e-05,,0,[35147],2
A2C_LSTM,14,-4.751068991026841e-05,,0,[38433],2
A2C_LSTM,15,-2.1290754830260994e-06,,0,[35271],2
A2C_LSTM,16,-2.9901986636104994e-05,,0,[35357],2
A2C_LSTM,17,-2.016083300304672e-08,,0,[35396],2
A2C_LSTM,18,-1.4352136759043788e-06,,0,[34745],2
A2C_LSTM,19,-4.809378424397437e-07,,0,[34527],2
A2C_LSTM,20,-1.825303115765564e-05,,0,[34079],2
A2C_LSTM,21,-3.102407575283905e-08,,0,[34605],2
A2C_LSTM,22,-2.212745044971598e-07,,0,[35016],2
A2C_LSTM,23,-0.00032111635664477944,,0,[34816],2
A2C_LSTM,24,-1.9371967937331647e-05,,0,[34708],2
A2C_LSTM,25,-7.047759572742507e-05,,0,[34513],2
A2C_LSTM,26,-1.0847168596228585e-05,,0,[34221],2
A2C_LSTM,27,13.410207748413086,,0,[34164],2
A2C_LSTM,28,9.591611160431057e-05,,0,[35084],2
A2C_LSTM,29,-0.00013606634456664324,,0,[34800],2
A2C_LSTM,30,-1.9453369532129727e-05,,0,[34086],2
A2C_LSTM,31,-1.1381965123291593e-05,,0,[34929],2
A2C_LSTM,32,-1.524307117506396e-05,,0,[35592],2
A2C_LSTM,33,-2.9183847800595686e-06,,0,[35305],2
A2C_LSTM,34,-1.1861708948401883e-08,,0,[34375],2
A2C_LSTM,35,-1.1793857765951543e-06,,0,[34683],2
A2C_LSTM,36,31.39746856689453,,0,[34806],2
A2C_LSTM,37,-3.551209459828897e-08,,0,[35094],2
A2C_LSTM,38,-1.3680039955943357e-05,,0,[35076],2
A2C_LSTM,39,-2.341141225770116e-06,,0,[35052],2
A2C_LSTM,40,-1.4715499673911836e-05,,0,[34183],2
A2C_LSTM,41,-9.794249855588077e-09,,0,[34700],2
A2C_LSTM,42,-3.860981756531601e-09,,0,[35259],2
A2C_LSTM,43,-8.361937808842868e-09,,0,[34764],2
A2C_LSTM,44,6.482154369354248,,0,[34457],2
A2C_LSTM,45,-3.9149301755969645e-07,,0,[34982],2
A2C_LSTM,46,-6.775315796403447e-06,,0,[34958],2
A2C_LSTM,47,-9.633933586883359e-06,,0,[34921],2
A2C_LSTM,48,-4.2385570850456133e-05,,0,[34441],2
A2C_LSTM,49,-1.2715956927422667e-06,,0,[35031],2
A2C_LSTM,50,0.007340565789490938,,0,[35123],2
A2C_LSTM,51,-3.289074811618775e-06,,0,[34887],2
A2C_LSTM,52,-5.184290330362273e-07,,0,[34436],2
A2C_LSTM,53,-2.4477326832084145e-08,,0,[34990],2
A2C_LSTM,54,-6.804795248172013e-06,,0,[34669],2
A2C_LSTM,55,85.77436828613281,,0,[34758],2
A2C_LSTM,56,-0.0002789598365779966,,0,[35027],2
A2C_LSTM,57,-7.402245500998106e-06,,0,[34583],2
A2C_LSTM,58,-8.205116319004446e-05,,0,[34653],2
A2C_LSTM,59,-1.928923893501633e-06,,0,[35001],2
A2C_LSTM,60,-2.1281326553435065e-05,,0,[34888],2
A2C_LSTM,61,-3.6939320580131607e-06,,0,[34547],2
A2C_LSTM,62,-0.00029349379474297166,,0,[35070],2
A2C_LSTM,63,-1.3652442021339084e-07,,0,[34686],2
A2C_LSTM,64,-6.0317152019706555e-06,,0,[34331],2
A2C_LSTM,65,-4.087837805855088e-05,,0,[34679],2
A2C_LSTM,66,-0.00011781418288592249,,0,[35566],2
A2C_LSTM,67,-0.000147628816193901,,0,[34117],2
A2C_LSTM,68,-3.4335158716203296e-07,,0,[35059],2
A2C_LSTM,69,-0.00011627537605818361,,0,[34640],2
A2C_LSTM,70,-8.219087612815201e-05,,0,[34744],2
A2C_LSTM,71,-1.7352478607790545e-05,,0,[34870],2
A2C_LSTM,72,-5.3229578043101355e-06,,0,[34430],2
A2C_LSTM,73,-1.694889579084702e-05,,0,[35133],2
A2C_LSTM,74,-1.3163228231860558e-06,,0,[34713],2
A2C_LSTM,75,-1.7287591617787257e-05,,0,[34867],2
A2C_LSTM,76,-5.594231697614305e-05,,0,[34670],2
A2C_LSTM,77,-0.0004186416626907885,,0,[34731],2
A2C_LSTM,78,-4.50345323770307e-05,,0,[35155],2
A2C_LSTM,79,-9.97981805994641e-06,,0,[34665],2
