estrategia,n_torneo,perdida,exploracion,puntaje_torneo,puntaje_acumulado,seed
DeepQNetwork,1,0.01608322747051716,,0,[39660],2
DeepQNetwork,2,0.017291216179728508,,0,[36735],2
DeepQNetwork,3,0.07551166415214539,,0,[34594],2
DeepQNetwork,4,0.06480635702610016,,0,[39868],2
DeepQNetwork,5,0.0633898377418518,,0,[37542],2
DeepQNetwork,6,0.08373263478279114,,0,[36858],2
DeepQNetwork,7,0.03954614698886871,,0,[32596],2
DeepQNetwork,8,0.0006149960681796074,,0,[41708],2
DeepQNetwork,9,0.029895037412643433,,0,[35060],2
DeepQNetwork,10,0.06695956736803055,,0,[34215],2
DeepQNetwork,11,0.008799887262284756,,0,[35043],2
DeepQNetwork,12,0.15691827237606049,,0,[33186],2
DeepQNetwork,13,0.02517075464129448,,0,[37038],2
DeepQNetwork,14,0.10041122138500214,,0,[37632],2
DeepQNetwork,15,0.020390592515468597,,0,[33830],2
DeepQNetwork,16,0.06548645347356796,,0,[31347],2
DeepQNetwork,17,0.22161181271076202,,0,[40974],2
DeepQNetwork,18,0.005746139213442802,,0,[35557],2
DeepQNetwork,19,0.009853562340140343,,0,[37340],2
DeepQNetwork,20,0.005874802358448505,,0,[33263],2
DeepQNetwork,21,0.03967374190688133,,0,[41480],2
DeepQNetwork,22,0.09521900117397308,,0,[38016],2
DeepQNetwork,23,0.06408911198377609,,0,[40967],2
DeepQNetwork,24,0.020137598738074303,,0,[37829],2
DeepQNetwork,25,0.7211707830429077,,0,[38705],2
DeepQNetwork,26,0.06810181587934494,,0,[41153],2
DeepQNetwork,27,0.0013694012304767966,,0,[35011],2
DeepQNetwork,28,0.012094460427761078,,0,[38148],2
DeepQNetwork,29,0.05624190717935562,,0,[35339],2
DeepQNetwork,30,0.018034737557172775,,0,[37258],2
DeepQNetwork,31,0.021710596978664398,,0,[39834],2
DeepQNetwork,32,0.06725309044122696,,0,[40545],2
DeepQNetwork,33,0.020564813166856766,,0,[37270],2
DeepQNetwork,34,0.14182351529598236,,0,[38561],2
DeepQNetwork,35,0.038332514464855194,,0,[33368],2
DeepQNetwork,36,0.06826260685920715,,0,[32886],2
DeepQNetwork,37,0.0009677307680249214,,0,[32188],2
DeepQNetwork,38,0.03630506247282028,,0,[33722],2
DeepQNetwork,39,0.06473422050476074,,0,[32685],2
DeepQNetwork,40,0.0006348791066557169,,0,[37053],2
DeepQNetwork,41,0.06754259765148163,,0,[40968],2
DeepQNetwork,42,0.05430227890610695,,0,[31991],2
DeepQNetwork,43,0.03094874881207943,,0,[37522],2
DeepQNetwork,44,0.9151818156242371,,0,[37463],2
DeepQNetwork,45,5.162189483642578,,0,[30622],2
DeepQNetwork,46,0.0007691601640544832,,0,[40592],2
DeepQNetwork,47,0.02193833701312542,,0,[35745],2
DeepQNetwork,48,0.02159953862428665,,0,[36723],2
DeepQNetwork,49,0.11559633165597916,,0,[32115],2
DeepQNetwork,50,0.06349723041057587,,0,[35258],2
DeepQNetwork,51,0.053071267902851105,,0,[35264],2
DeepQNetwork,52,0.0027497592382133007,,0,[35088],2
DeepQNetwork,53,0.03498033806681633,,0,[39302],2
DeepQNetwork,54,0.3809928297996521,,0,[34713],2
DeepQNetwork,55,0.013419294729828835,,0,[33569],2
DeepQNetwork,56,0.0005312805296853185,,0,[42465],2
DeepQNetwork,57,0.06502046436071396,,0,[37138],2
DeepQNetwork,58,0.05468424782156944,,0,[40406],2
DeepQNetwork,59,0.03840207681059837,,0,[36248],2
DeepQNetwork,60,0.0361986868083477,,0,[34275],2
DeepQNetwork,61,0.09078148007392883,,0,[40711],2
DeepQNetwork,62,1.4038742780685425,,0,[35316],2
DeepQNetwork,63,0.010149097070097923,,0,[35436],2
DeepQNetwork,64,47.594139099121094,,0,[38030],2
DeepQNetwork,65,3.0844943523406982,,0,[34977],2
DeepQNetwork,66,0.005529013928025961,,0,[36687],2
DeepQNetwork,67,0.07703962177038193,,0,[36818],2
DeepQNetwork,68,406.6153564453125,,0,[33979],2
DeepQNetwork,69,0.0583437941968441,,0,[35096],2
DeepQNetwork,70,0.3530876636505127,,0,[35580],2
DeepQNetwork,71,32.18027877807617,,0,[37028],2
DeepQNetwork,72,2.5006988048553467,,0,[39668],2
DeepQNetwork,73,1.3164422512054443,,0,[38385],2
DeepQNetwork,74,0.06008385866880417,,0,[34069],2
DeepQNetwork,75,0.04679618030786514,,0,[35972],2
DeepQNetwork,76,0.12688881158828735,,0,[41902],2
DeepQNetwork,77,5.581352710723877,,0,[36875],2
DeepQNetwork,78,0.003993894439190626,,0,[34946],2
DeepQNetwork,79,8.158926963806152,,0,[37826],2
DeepQNetwork,80,0.08146167546510696,,0,[34369],2
DeepQNetwork,81,6.925537109375,,0,[34352],2
DeepQNetwork,82,0.33334439992904663,,0,[35012],2
DeepQNetwork,83,0.02229558862745762,,0,[36571],2
DeepQNetwork,84,0.00787090789526701,,0,[38920],2
DeepQNetwork,85,0.025242526084184647,,0,[34328],2
DeepQNetwork,86,0.2019849568605423,,0,[35057],2
DeepQNetwork,87,0.021075569093227386,,0,[38701],2
DeepQNetwork,88,0.3850778341293335,,0,[42680],2
DeepQNetwork,89,0.030020246282219887,,0,[38985],2
DeepQNetwork,90,18.022472381591797,,0,[36166],2
DeepQNetwork,91,4.611952304840088,,0,[35147],2
DeepQNetwork,92,2.853822708129883,,0,[35687],2
DeepQNetwork,93,0.0308971107006073,,0,[30894],2
DeepQNetwork,94,0.07901985943317413,,0,[36067],2
DeepQNetwork,95,0.022587358951568604,,0,[33566],2
DeepQNetwork,96,0.0002565428731031716,,0,[41352],2
DeepQNetwork,97,0.0004179071693215519,,0,[36114],2
DeepQNetwork,98,0.296916663646698,,0,[35698],2
DeepQNetwork,99,1.7499586343765259,,0,[36488],2
DeepQNetwork,100,0.000560216314624995,,0,[34279],2
DeepQNetwork,1,0.026926901191473007,,0,[36648],3
DeepQNetwork,2,0.037888869643211365,,0,[33460],3
DeepQNetwork,3,0.03219576179981232,,0,[37979],3
DeepQNetwork,4,0.14196321368217468,,0,[35294],3
DeepQNetwork,5,0.02203170768916607,,0,[37478],3
DeepQNetwork,6,0.037444084882736206,,0,[33137],3
DeepQNetwork,7,0.08617966622114182,,0,[39230],3
DeepQNetwork,8,0.09957272559404373,,0,[37463],3
DeepQNetwork,9,0.19494880735874176,,0,[35727],3
DeepQNetwork,10,0.044318344444036484,,0,[37398],3
DeepQNetwork,11,0.09237012267112732,,0,[34233],3
DeepQNetwork,12,0.04081827029585838,,0,[40483],3
DeepQNetwork,13,0.010133995674550533,,0,[38787],3
DeepQNetwork,14,0.09005052596330643,,0,[33152],3
DeepQNetwork,15,0.43856552243232727,,0,[32417],3
DeepQNetwork,16,0.028616081923246384,,0,[33335],3
DeepQNetwork,17,16.586071014404297,,0,[36871],3
DeepQNetwork,18,0.19184228777885437,,0,[38213],3
DeepQNetwork,19,0.0467204824090004,,0,[33031],3
DeepQNetwork,20,0.02948090061545372,,0,[39456],3
DeepQNetwork,21,0.01047302782535553,,0,[32395],3
DeepQNetwork,22,0.17206309735774994,,0,[35468],3
DeepQNetwork,23,0.10165807604789734,,0,[34581],3
DeepQNetwork,24,0.175772562623024,,0,[36541],3
DeepQNetwork,25,11.550455093383789,,0,[30547],3
DeepQNetwork,26,0.0010725503088906407,,0,[41363],3
DeepQNetwork,27,0.025736965239048004,,0,[36535],3
DeepQNetwork,28,0.07504498958587646,,0,[36459],3
DeepQNetwork,29,0.07534942030906677,,0,[37350],3
DeepQNetwork,30,0.0680123120546341,,0,[37636],3
DeepQNetwork,31,0.03569898381829262,,0,[38990],3
DeepQNetwork,32,0.0027098164428025484,,0,[35744],3
DeepQNetwork,33,1.8429886102676392,,0,[34768],3
DeepQNetwork,34,0.08798857033252716,,0,[36780],3
DeepQNetwork,35,0.04412951320409775,,0,[38568],3
DeepQNetwork,36,0.01750604435801506,,0,[36297],3
DeepQNetwork,37,0.013141444884240627,,0,[34874],3
DeepQNetwork,38,0.002186879049986601,,0,[38803],3
DeepQNetwork,39,0.015039493329823017,,0,[36310],3
DeepQNetwork,40,0.07033847272396088,,0,[33246],3
DeepQNetwork,41,2.14833664894104,,0,[36492],3
DeepQNetwork,42,0.039280857890844345,,0,[38999],3
DeepQNetwork,43,0.032641056925058365,,0,[36864],3
DeepQNetwork,44,0.017414502799510956,,0,[37815],3
DeepQNetwork,45,0.09766818583011627,,0,[35844],3
DeepQNetwork,46,0.007158310618251562,,0,[39244],3
DeepQNetwork,47,4.057722091674805,,0,[37819],3
DeepQNetwork,48,0.025827424600720406,,0,[37341],3
DeepQNetwork,49,0.06671012192964554,,0,[30923],3
DeepQNetwork,50,3.3026835918426514,,0,[40362],3
DeepQNetwork,51,0.027192432433366776,,0,[33109],3
DeepQNetwork,52,0.036592546850442886,,0,[36878],3
DeepQNetwork,53,1.9772827625274658,,0,[37681],3
DeepQNetwork,54,0.8842442035675049,,0,[39421],3
DeepQNetwork,55,0.0022847428917884827,,0,[36742],3
DeepQNetwork,56,0.03740810602903366,,0,[40112],3
DeepQNetwork,57,0.024086644873023033,,0,[36220],3
DeepQNetwork,58,3.0171821117401123,,0,[35291],3
DeepQNetwork,59,0.034211453050374985,,0,[37871],3
DeepQNetwork,60,0.013646263629198074,,0,[34892],3
DeepQNetwork,61,0.020503828302025795,,0,[39922],3
DeepQNetwork,62,0.008748996071517467,,0,[36620],3
DeepQNetwork,63,4.073426723480225,,0,[32044],3
DeepQNetwork,64,0.048041120171546936,,0,[37228],3
DeepQNetwork,65,3.7096283435821533,,0,[43006],3
DeepQNetwork,66,0.0029457397758960724,,0,[37682],3
DeepQNetwork,67,0.03357507660984993,,0,[34710],3
DeepQNetwork,68,0.06547938287258148,,0,[39019],3
DeepQNetwork,69,0.06251823902130127,,0,[38985],3
DeepQNetwork,70,0.02440134808421135,,0,[40087],3
DeepQNetwork,71,3.339864730834961,,0,[34861],3
DeepQNetwork,72,0.01583952270448208,,0,[35489],3
DeepQNetwork,73,0.040281906723976135,,0,[40589],3
DeepQNetwork,74,0.06337803602218628,,0,[40224],3
DeepQNetwork,75,0.10839353501796722,,0,[37237],3
DeepQNetwork,76,0.2728860378265381,,0,[37303],3
DeepQNetwork,77,0.03281242400407791,,0,[37585],3
DeepQNetwork,78,0.03820334002375603,,0,[33398],3
DeepQNetwork,79,0.1332472413778305,,0,[38763],3
DeepQNetwork,80,0.06515944749116898,,0,[34660],3
DeepQNetwork,81,0.06293467432260513,,0,[35043],3
DeepQNetwork,82,0.09070329368114471,,0,[35398],3
DeepQNetwork,83,0.06142773479223251,,0,[37598],3
DeepQNetwork,84,0.003358267480507493,,0,[39960],3
DeepQNetwork,85,0.016619382426142693,,0,[38475],3
DeepQNetwork,86,2.2564377784729004,,0,[37725],3
DeepQNetwork,87,0.036198124289512634,,0,[34123],3
DeepQNetwork,88,0.05724688991904259,,0,[37516],3
DeepQNetwork,89,0.0035566615406423807,,0,[40976],3
DeepQNetwork,90,5.610461235046387,,0,[33024],3
DeepQNetwork,91,0.16689985990524292,,0,[35664],3
DeepQNetwork,92,0.0003178081242367625,,0,[35932],3
DeepQNetwork,93,0.07908054441213608,,0,[35350],3
DeepQNetwork,94,0.029300548136234283,,0,[33959],3
DeepQNetwork,95,0.07869568467140198,,0,[36871],3
DeepQNetwork,96,0.027065254747867584,,0,[31820],3
DeepQNetwork,97,4.758821487426758,,0,[35465],3
DeepQNetwork,98,0.027861671522259712,,0,[35486],3
DeepQNetwork,99,0.036938752979040146,,0,[36716],3
