estrategia,n_torneo,perdida,exploracion,puntaje_torneo,puntaje_acumulado,seed
DuelingDQN,1,0.5754331946372986,,0,[8110],1
DuelingDQN,2,0.32493701577186584,,0,[8317],1
DuelingDQN,3,0.5407786965370178,,0,[8136],1
DuelingDQN,4,0.4680502414703369,,0,[7573],1
DuelingDQN,5,0.44201958179473877,,0,[8124],1
DuelingDQN,6,0.37268441915512085,,0,[8462],1
DuelingDQN,7,0.42574700713157654,,0,[8214],1
DuelingDQN,8,0.30083972215652466,,0,[8127],1
DuelingDQN,9,0.20610377192497253,,0,[8093],1
DuelingDQN,10,0.37011533975601196,,0,[8116],1
DuelingDQN,11,0.42261695861816406,,0,[8340],1
DuelingDQN,12,1.0513525009155273,,0,[8138],1
DuelingDQN,13,0.22587361931800842,,0,[8494],1
DuelingDQN,14,0.8736836314201355,,0,[8452],1
DuelingDQN,15,0.4811336100101471,,0,[8617],1
DuelingDQN,16,0.07115727663040161,,0,[8247],1
DuelingDQN,17,0.457150399684906,,0,[8476],1
DuelingDQN,18,0.49630236625671387,,0,[8479],1
DuelingDQN,19,0.32550734281539917,,0,[8201],1
DuelingDQN,20,0.5490450263023376,,0,[8382],1
DuelingDQN,21,0.27920833230018616,,0,[8587],1
DuelingDQN,22,0.24699407815933228,,0,[8454],1
DuelingDQN,23,0.40204209089279175,,0,[8311],1
DuelingDQN,24,0.6275534629821777,,0,[8234],1
DuelingDQN,25,0.1661394089460373,,0,[8738],1
DuelingDQN,26,0.5312967896461487,,0,[8122],1
DuelingDQN,27,0.1269373744726181,,0,[8265],1
DuelingDQN,28,0.6075813174247742,,0,[8454],1
DuelingDQN,29,0.5021960735321045,,0,[8192],1
DuelingDQN,30,0.21398693323135376,,0,[8192],1
DuelingDQN,31,0.22469419240951538,,0,[8091],1
DuelingDQN,32,0.36427587270736694,,0,[8575],1
DuelingDQN,33,0.24945223331451416,,0,[8724],1
DuelingDQN,34,0.6919256448745728,,0,[8528],1
DuelingDQN,35,0.3853833079338074,,0,[8082],1
DuelingDQN,36,0.632031261920929,,0,[8860],1
DuelingDQN,37,0.38170427083969116,,0,[8708],1
DuelingDQN,38,0.049620695412158966,,0,[8621],1
DuelingDQN,39,0.18482214212417603,,0,[8807],1
DuelingDQN,40,0.16024652123451233,,0,[8895],1
DuelingDQN,41,0.1610332727432251,,0,[8831],1
DuelingDQN,42,0.44918203353881836,,0,[8827],1
DuelingDQN,43,0.435533732175827,,0,[8338],1
DuelingDQN,44,0.14153583347797394,,0,[7933],1
DuelingDQN,45,0.34089499711990356,,0,[8544],1
DuelingDQN,46,0.3033733665943146,,0,[8617],1
DuelingDQN,47,0.16392450034618378,,0,[8707],1
DuelingDQN,48,0.2516869604587555,,0,[8795],1
DuelingDQN,49,0.15974277257919312,,0,[8743],1
DuelingDQN,50,0.4882797598838806,,0,[8796],1
DuelingDQN,51,0.32218217849731445,,0,[8483],1
DuelingDQN,52,0.5030075311660767,,0,[8550],1
DuelingDQN,53,0.33999428153038025,,0,[7937],1
DuelingDQN,54,0.609089732170105,,0,[8597],1
DuelingDQN,55,0.34479689598083496,,0,[8634],1
DuelingDQN,56,0.2905523478984833,,0,[8312],1
DuelingDQN,57,0.5605089664459229,,0,[8400],1
DuelingDQN,58,0.6788657903671265,,0,[8349],1
DuelingDQN,59,0.5152184963226318,,0,[8142],1
DuelingDQN,60,0.34551650285720825,,0,[8280],1
DuelingDQN,1,0.38944119215011597,,0,[7660],2
DuelingDQN,2,0.6049990653991699,,0,[8759],2
DuelingDQN,3,0.35260462760925293,,0,[8722],2
DuelingDQN,4,0.6262928247451782,,0,[8195],2
DuelingDQN,5,0.12444264441728592,,0,[8848],2
DuelingDQN,6,0.4817422926425934,,0,[8307],2
DuelingDQN,7,0.36049798130989075,,0,[8192],2
DuelingDQN,8,0.4323282837867737,,0,[8467],2
DuelingDQN,9,0.7291051745414734,,0,[8636],2
DuelingDQN,10,0.9935935735702515,,0,[8163],2
DuelingDQN,11,0.49420860409736633,,0,[8705],2
DuelingDQN,12,0.4902016222476959,,0,[8807],2
DuelingDQN,13,0.4634411633014679,,0,[8176],2
DuelingDQN,14,0.49716195464134216,,0,[8308],2
DuelingDQN,15,0.1579989790916443,,0,[8295],2
DuelingDQN,16,0.2814502716064453,,0,[8208],2
DuelingDQN,17,0.5287328958511353,,0,[8358],2
DuelingDQN,18,0.30912429094314575,,0,[8239],2
DuelingDQN,19,0.8568707704544067,,0,[8442],2
DuelingDQN,20,0.35670262575149536,,0,[8427],2
DuelingDQN,21,1.0834980010986328,,0,[8650],2
DuelingDQN,22,0.36379796266555786,,0,[8783],2
DuelingDQN,23,0.5208106637001038,,0,[8728],2
DuelingDQN,24,0.471208781003952,,0,[8529],2
DuelingDQN,25,0.4648721218109131,,0,[8126],2
DuelingDQN,26,0.9055821895599365,,0,[8534],2
DuelingDQN,27,0.35321861505508423,,0,[8638],2
DuelingDQN,28,0.5159876346588135,,0,[8678],2
DuelingDQN,29,0.5094401836395264,,0,[8563],2
DuelingDQN,30,0.5758394002914429,,0,[8774],2
DuelingDQN,31,0.6706502437591553,,0,[8541],2
DuelingDQN,32,0.9855864644050598,,0,[8514],2
DuelingDQN,33,0.7315951585769653,,0,[8051],2
DuelingDQN,34,0.7069085836410522,,0,[8366],2
DuelingDQN,35,0.5913556218147278,,0,[8600],2
DuelingDQN,36,0.5943353176116943,,0,[8253],2
DuelingDQN,37,0.7130798101425171,,0,[8797],2
DuelingDQN,38,0.6004548072814941,,0,[7874],2
DuelingDQN,39,0.41894471645355225,,0,[7909],2
DuelingDQN,40,0.4121286869049072,,0,[8651],2
DuelingDQN,41,0.3853217363357544,,0,[8166],2
DuelingDQN,42,0.5213032364845276,,0,[8193],2
DuelingDQN,43,0.33433228731155396,,0,[8083],2
DuelingDQN,44,0.4768284559249878,,0,[8686],2
DuelingDQN,45,0.4854602813720703,,0,[8249],2
DuelingDQN,46,0.37009984254837036,,0,[8734],2
DuelingDQN,47,0.596814751625061,,0,[8231],2
DuelingDQN,48,0.39827537536621094,,0,[8315],2
DuelingDQN,49,0.43688517808914185,,0,[8463],2
DuelingDQN,50,0.4724114239215851,,0,[8380],2
DuelingDQN,51,0.45763376355171204,,0,[8576],2
DuelingDQN,52,0.3905235528945923,,0,[8534],2
DuelingDQN,53,0.36926811933517456,,0,[8595],2
DuelingDQN,54,0.8165163993835449,,0,[8274],2
DuelingDQN,55,0.7276450395584106,,0,[7977],2
DuelingDQN,56,0.3168715834617615,,0,[8439],2
DuelingDQN,57,0.8187541961669922,,0,[8606],2
DuelingDQN,58,0.592671275138855,,0,[8670],2
DuelingDQN,59,0.8627891540527344,,0,[8689],2
DuelingDQN,60,0.5272402167320251,,0,[8520],2
DuelingDQN,1,0.23288102447986603,,0,[7379],3
DuelingDQN,2,0.23529082536697388,,0,[7977],3
DuelingDQN,3,0.5169011354446411,,0,[8257],3
DuelingDQN,4,0.26899096369743347,,0,[8197],3
DuelingDQN,5,0.7349128127098083,,0,[8258],3
DuelingDQN,6,0.5719809532165527,,0,[8736],3
DuelingDQN,7,0.8676561117172241,,0,[8215],3
DuelingDQN,8,0.4493522346019745,,0,[7950],3
DuelingDQN,9,0.3684496581554413,,0,[7909],3
DuelingDQN,10,0.6584694981575012,,0,[8117],3
DuelingDQN,11,1.1030113697052002,,0,[8378],3
DuelingDQN,12,1.030915379524231,,0,[8322],3
DuelingDQN,13,1.095638394355774,,0,[8239],3
DuelingDQN,14,0.997514009475708,,0,[8561],3
DuelingDQN,15,0.7060286998748779,,0,[8149],3
DuelingDQN,16,0.6962698101997375,,0,[8200],3
DuelingDQN,17,1.079252004623413,,0,[8075],3
DuelingDQN,18,0.6108390092849731,,0,[8270],3
DuelingDQN,19,0.9178388714790344,,0,[7974],3
DuelingDQN,20,0.6132321357727051,,0,[8561],3
DuelingDQN,21,0.7435376644134521,,0,[8759],3
DuelingDQN,22,0.9410274028778076,,0,[8449],3
DuelingDQN,23,0.36425596475601196,,0,[8366],3
DuelingDQN,24,1.0591962337493896,,0,[8342],3
DuelingDQN,25,1.0355501174926758,,0,[8236],3
DuelingDQN,26,0.4961678981781006,,0,[8189],3
DuelingDQN,27,0.4339613616466522,,0,[8493],3
DuelingDQN,28,0.5120673179626465,,0,[8239],3
DuelingDQN,29,0.38228631019592285,,0,[8365],3
DuelingDQN,30,0.5045046806335449,,0,[8747],3
DuelingDQN,31,0.23917227983474731,,0,[8690],3
DuelingDQN,32,0.188312828540802,,0,[8565],3
DuelingDQN,33,0.3131597936153412,,0,[8503],3
DuelingDQN,34,0.5444142818450928,,0,[8684],3
DuelingDQN,35,0.15751421451568604,,0,[8531],3
DuelingDQN,36,0.45572102069854736,,0,[8190],3
DuelingDQN,37,0.6684962511062622,,0,[8394],3
DuelingDQN,38,0.4792059361934662,,0,[8649],3
DuelingDQN,39,0.3929285407066345,,0,[8218],3
DuelingDQN,40,0.4484401345252991,,0,[8531],3
DuelingDQN,41,0.6692700982093811,,0,[8590],3
DuelingDQN,42,0.8857502937316895,,0,[8507],3
DuelingDQN,43,0.4759080410003662,,0,[8602],3
DuelingDQN,44,0.3694053590297699,,0,[8043],3
DuelingDQN,45,0.30991435050964355,,0,[8778],3
DuelingDQN,46,0.47005850076675415,,0,[8503],3
DuelingDQN,47,0.8524916172027588,,0,[8384],3
DuelingDQN,48,0.3486472964286804,,0,[8412],3
DuelingDQN,49,0.7310771346092224,,0,[8830],3
DuelingDQN,50,0.09400252252817154,,0,[8672],3
DuelingDQN,51,0.36266446113586426,,0,[8864],3
DuelingDQN,52,0.3812097907066345,,0,[8347],3
DuelingDQN,53,0.25912046432495117,,0,[8218],3
DuelingDQN,54,0.26429885625839233,,0,[8263],3
DuelingDQN,55,0.2767910361289978,,0,[8401],3
DuelingDQN,56,0.27987369894981384,,0,[8455],3
DuelingDQN,57,0.45936527848243713,,0,[9123],3
DuelingDQN,58,0.3529103100299835,,0,[9115],3
DuelingDQN,59,0.5899153351783752,,0,[9069],3
DuelingDQN,60,0.2768237292766571,,0,[9833],3
