,historial,memory,grupos,state_manager,algo,alpha,seed,train_mean,train_std,eval_mean,eval_std,eval_median,eval_p25,eval_p75,p_explorado
0,3.0,,,history,Q,0.01,1,803.218,164.06847496091382,929.0,0.0,929.0,929.0,929.0,0.7142857142857143
1,3.0,,,history,Q,0.01,2,786.3495,157.36874641983397,914.0,0.0,914.0,914.0,914.0,0.7346938775510204
2,3.0,,,history,Q,0.01,3,797.088,162.77371180875613,920.0,0.0,920.0,920.0,920.0,0.7244897959183674
3,3.0,,,history,Q,0.05,1,826.6775,170.17777026906307,1084.14,8.414297356285907,1084.0,1078.0,1091.5,0.7040816326530612
4,3.0,,,history,Q,0.05,2,825.8395,172.31957155166674,858.0,0.0,858.0,858.0,858.0,0.7346938775510204
5,3.0,,,history,Q,0.05,3,832.491,168.28150795319132,1088.34,17.902636677316558,1083.0,1074.0,1101.0,0.7448979591836735
6,3.0,,,history,Q,0.1,1,848.7895,169.94333817408082,1052.06,24.80033064295716,1049.0,1034.0,1067.0,0.6938775510204082
7,3.0,,,history,Q,0.1,2,851.394,171.71264008220246,686.72,8.419121094271064,688.0,680.25,693.0,0.7040816326530612
8,3.0,,,history,Q,0.1,3,843.334,172.54604151935797,1028.64,6.713449188010586,1029.0,1025.25,1033.0,0.7346938775510204
9,3.0,,,history,SARSA,0.01,1,801.9365,164.15417286121604,916.0,0.0,916.0,916.0,916.0,0.7244897959183674
10,3.0,,,history,SARSA,0.01,2,790.1045,156.89649639093284,922.0,0.0,922.0,922.0,922.0,0.7142857142857143
11,3.0,,,history,SARSA,0.01,3,788.7675,160.03256682235025,913.0,0.0,913.0,913.0,913.0,0.7244897959183674
12,3.0,,,history,SARSA,0.05,1,822.3745,169.51949519081867,914.0,0.0,914.0,914.0,914.0,0.7244897959183674
13,3.0,,,history,SARSA,0.05,2,825.6835,168.8513261059859,1042.68,6.589203290231679,1043.0,1040.0,1047.0,0.7040816326530612
14,3.0,,,history,SARSA,0.05,3,827.02,170.86705241210197,1025.14,8.345082384254813,1026.0,1020.0,1032.0,0.7346938775510204
15,3.0,,,history,SARSA,0.1,1,842.0685,171.14319679072844,1046.94,7.902936163224401,1048.0,1041.0,1052.5,0.7346938775510204
16,3.0,,,history,SARSA,0.1,2,833.769,170.4172046449536,927.0,0.0,927.0,927.0,927.0,0.7244897959183674
17,3.0,,,history,SARSA,0.1,3,840.339,170.6239141474606,675.52,7.043408265889462,676.5,670.25,679.75,0.7346938775510204
18,4.0,,,history,Q,0.01,1,796.396,160.76717694853014,660.0,0.0,660.0,660.0,660.0,0.430622009569378
19,4.0,,,history,Q,0.01,2,792.7605,161.58473981088065,632.0,0.0,632.0,632.0,632.0,0.44258373205741625
20,4.0,,,history,Q,0.01,3,792.196,159.84548033647994,916.0,0.0,916.0,916.0,916.0,0.44976076555023925
21,4.0,,,history,Q,0.05,1,835.241,170.0035997236529,649.46,7.5052248467317755,651.0,643.5,655.0,0.44976076555023925
22,4.0,,,history,Q,0.05,2,816.55,166.11706564949912,666.36,17.139148170197956,665.0,653.0,679.25,0.44019138755980863
23,4.0,,,history,Q,0.05,3,817.1825,167.16144948447294,915.0,0.0,915.0,915.0,915.0,0.4449760765550239
24,4.0,,,history,Q,0.1,1,855.243,169.4859756764553,1113.72,21.88153559510849,1110.5,1096.5,1130.0,0.44976076555023925
25,4.0,,,history,Q,0.1,2,833.3425,169.67179846323904,1049.62,6.849496331848058,1050.0,1047.0,1054.0,0.43779904306220097
26,4.0,,,history,Q,0.1,3,840.996,168.03174397714258,981.06,5.562049981796281,981.0,977.0,984.0,0.45215311004784686
27,4.0,,,history,SARSA,0.01,1,796.195,161.9601184705667,693.0,0.0,693.0,693.0,693.0,0.44258373205741625
28,4.0,,,history,SARSA,0.01,2,792.0,157.07072610769964,915.0,0.0,915.0,915.0,915.0,0.4449760765550239
